"order","family"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)"
"Passeriformes","Oxyruncidae (Sharpbill)"
"Passeriformes","Cotingidae (Cotingas)"
"Passeriformes","Pipridae (Manakins)"
"Passeriformes","Tityridae (Tityras and Allies)"
"Passeriformes","Menuridae (Lyrebirds)"
"Passeriformes","Atrichornithidae (Scrub-birds)"
"Passeriformes","Ptilonorhynchidae (Bowerbirds)"
"Passeriformes","Climacteridae (Australasian Treecreepers)"
"Passeriformes","Maluridae (Fairywrens)"
"Passeriformes","Meliphagidae (Honeyeaters)"
"Passeriformes","Dasyornithidae (Bristlebirds)"
"Passeriformes","Pardalotidae (Pardalotes)"
"Passeriformes","Acanthizidae (Thornbills and Allies)"
"Passeriformes","Pomatostomidae (Pseudo-Babblers)"
"Passeriformes","Orthonychidae (Logrunners)"
"Passeriformes","Cnemophilidae (Satinbirds)"
"Passeriformes","Melanocharitidae (Berrypeckers and Longbills)"
"Passeriformes","Mohouidae (Whiteheads)"
"Passeriformes","Paramythiidae (Tit Berrypecker and Crested Berrypecker)"
"Passeriformes","Callaeidae (Wattlebirds)"
"Passeriformes","Notiomystidae (Stitchbird)"
"Passeriformes","Psophodidae (Whipbirds and Wedgebills)"
"Passeriformes","Cinclosomatidae (Quail-thrushes and Jewel-babblers)"
"Passeriformes","Platysteiridae (Wattle-eyes and Batises)"
"Passeriformes","Vangidae (Vangas/Helmetshrikes/Allies)"
"Passeriformes","Malaconotidae (Bushshrikes and Allies)"
"Passeriformes","Machaerirhynchidae (Boatbills)"
"Passeriformes","Artamidae (Woodswallows)"
"Passeriformes","Cracticidae (Bellmagpies and Allies)"
"Passeriformes","Pityriasidae (Bristlehead)"
"Passeriformes","Aegithinidae (Ioras)"
"Passeriformes","Campephagidae (Cuckooshrikes)"
"Passeriformes","Neosittidae (Sittellas)"
"Passeriformes","Eulacestomatidae (Ploughbill)"
"Passeriformes","Falcunculidae (Shrike-tit)"
"Passeriformes","Pachycephalidae (Whistlers and Allies)"
"Passeriformes","Rhagologidae (Mottled Berryhunter)"
"Passeriformes","Oreoicidae (Australo-Papuan Bellbirds)"
"Passeriformes","Platylophidae (Crested Shrikejay)"
"Passeriformes","Laniidae (Shrikes)"
"Passeriformes","Vireonidae (Vireos/Shrike-Babblers/Erpornis)"
"Passeriformes","Oriolidae (Old World Orioles)"
"Passeriformes","Dicruridae (Drongos)"
"Passeriformes","Rhipiduridae (Fantails)"
"Passeriformes","Ifritidae (Ifrita)"
"Passeriformes","Monarchidae (Monarch Flycatchers)"
"Passeriformes","Corvidae (Crows/Jays/Magpies)"
"Passeriformes","Corcoracidae (White-winged Chough and Apostlebird)"
"Passeriformes","Paradisaeidae (Birds-of-Paradise)"
"Passeriformes","Melampittidae (Melampittas)"
"Passeriformes","Petroicidae (Australasian Robins)"
"Passeriformes","Picathartidae (Rockfowl)"
"Passeriformes","Chaetopidae (Rockjumpers)"
"Passeriformes","Eupetidae (Rail-babbler)"
"Passeriformes","Panuridae (Bearded Reedling)"
"Passeriformes","Nicatoridae (Nicators)"
"Passeriformes","Alaudidae (Larks)"
