Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S33887121,Brant,Branta bernicla,275,200,US-CT,Fairfield,L4382787,Fayerweather Apts.,41.153765,-73.219202,2017-01-14,03:00 PM,eBird - Stationary Count,20,1,,,2
S42466418,Brant,Branta bernicla,275,60,US-CT,Fairfield,L4382787,Fayerweather Apts.,41.153765,-73.219202,2018-02-03,04:45 PM,eBird - Stationary Count,20,1,,,1
S42484418,Brant,Branta bernicla,275,60,US-CT,Fairfield,L4382787,Fayerweather Apts.,41.153765,-73.219202,2018-02-04,10:55 AM,eBird - Stationary Count,10,1,,,1
S42495686,Brant,Branta bernicla,275,70,US-CT,Fairfield,L4382787,Fayerweather Apts.,41.153765,-73.219202,2018-02-04,04:10 PM,eBird - Stationary Count,12,1,,,1
S28451972,Brant,Branta bernicla,275,70,US-CT,Fairfield,L473325,Seaside Park,41.1615162,-73.1931067,2016-03-20,04:30 PM,eBird - Traveling Count,35,1,3.219,,2,,,"No ross's! Poor me, maybe tomorrow <br />Submitted from eBird Android 1.0.2"
S28463852,Brant,Branta bernicla,275,130,US-CT,Fairfield,L473325,Seaside Park,41.1615162,-73.1931067,2016-03-21,09:10 AM,eBird - Traveling Count,43,1,3.219,,1,,,See Ross's goose comment (present again today)<br />Submitted from eBird Android 1.0.2
S26537430,Brant,Branta bernicla,275,52,US-CT,Fairfield,L280564,Sherwood Island State Park,41.1157809,-73.3305955,2015-12-30,03:30 PM,eBird - Traveling Count,60,1,1.609,,2
S28465146,Brant,Branta bernicla,275,20,US-CT,Fairfield,L611064,Stratford Point,41.1533577,-73.1033278,2016-03-21,10:45 AM,eBird - Traveling Count,32,1,.805,,1,,,<br />Submitted from eBird Android 1.0.2
S54367313,Brant,Branta bernicla,275,11,US-CT,New Haven,L109204,Hammonasset Beach SP--Meig's Point,41.2490558,-72.5442213,2019-03-30,08:00 AM,eBird - Traveling Count,160,1,1.609,,8
S69101045,Brant,Branta bernicla,275,7,US-CT,New Haven,L1880516,Hammonasset Beach SP--Meig's Point Parking Lot/Marshes,41.2522001,-72.5451318,2020-05-15,02:19 PM,eBird - Traveling Count,100,1,2.543,,1
S28539203,Brant,Branta bernicla,275,12,US-CT,New Haven,L109216,Milford Pt. (CT Audubon),41.1754303,-73.1032485,2016-03-25,04:32 PM,eBird - Traveling Count,48,1,1.609,,1,,,<br />Submitted from eBird Android 1.0.3
S54930366,Brant,Branta bernicla,275,35,US-CT,New Haven,L109216,Milford Pt. (CT Audubon),41.1754303,-73.1032485,2019-04-13,05:15 PM,eBird - Traveling Count,80,1,3.219,,1
S54948359,Brant,Branta bernicla,275,40,US-CT,New Haven,L109216,Milford Pt. (CT Audubon),41.1754303,-73.1032485,2019-04-14,01:00 PM,eBird - Traveling Count,36,1,1.609,,1
S28508599,Brant,Branta bernicla,275,40,US-CT,New Haven,L126465,West Haven,41.2706985,-72.947052,2016-03-23,01:00 PM,eBird - Stationary Count,60,1,,,1
S52774682,Brant,Branta bernicla,275,60,US-CT,New London,L3187701,Ocean Beach Park,41.3081483,-72.1000528,2019-02-16,08:15 AM,eBird - Stationary Count,45,1,,,18
S57801672,Cackling Goose,Branta hutchinsii,286,2,US-AK,Anchorage,L3678872,Potter Marsh SE end (MP A11.5 Seward Hwy),61.0559178,-149.7986537,2019-06-29,06:30 PM,eBird - Traveling Count,90,1,3.541,,1,,,Includes north boardwalk and SE end
S57801672,Canada Goose,Branta canadensis,297,8,US-AK,Anchorage,L3678872,Potter Marsh SE end (MP A11.5 Seward Hwy),61.0559178,-149.7986537,2019-06-29,06:30 PM,eBird - Traveling Count,90,1,3.541,,1,,,Includes north boardwalk and SE end
