common,scientific,order,family
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches)
Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches)
Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas)
Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas)
Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas)
Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas)
Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous)
Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous)
Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous)
Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous)
Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous)
Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous)
Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous)
Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous)
Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous)
White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous)
Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous)
Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous)
Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous)
Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous)
Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous)
Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous)
Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous)
Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous)
Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous)
Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous)
Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous)
Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous)
Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous)
Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous)
Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous)
Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous)
Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous)
Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous)
Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous)
Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous)
Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous)
Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous)
Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous)
Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous)
Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous)
Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous)
Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous)
Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous)
Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous)
Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous)
Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous)
Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous)
Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous)
Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous)
Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous)
Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous)
Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous)
Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous)
White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous)
Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous)
Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous)
Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous)
Chaco Nothura,Nothura chacoensis,Tinamiformes,Tinamidae (Tinamous)
Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous)
Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous)
Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous)
Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous)
Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous)
tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous)
Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu)
Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu)
Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu)
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu)
Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis)
Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis)
Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis)
Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis)
North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis)
Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis)
Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis)
Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers)
Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers)
Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers)
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose)
Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
whistling-duck sp.,Dendrocygna sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-backed Duck,Thalassornis leuconotus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Bar-headed Goose,Anser indicus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Emperor Goose,Anser canagicus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow Goose,Anser caerulescens,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ross's Goose,Anser rossii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag Goose,Anser anser,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag Goose (European),Anser anser anser,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Swan Goose,Anser cygnoides,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted Goose,Anser albifrons,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted Goose (Western),Anser albifrons gambelli/frontalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Lesser White-fronted Goose,Anser erythropus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Taiga Bean-Goose,Anser fabalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tundra Bean-Goose,Anser serrirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Pink-footed Goose,Anser brachyrhynchus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Anser sp.,Anser sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant,Branta bernicla,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant (Atlantic),Branta bernicla hrota,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant (Black),Branta bernicla nigricans/orientalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant (Gray-bellied),Branta bernicla (Gray-bellied),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Barnacle Goose,Branta leucopsis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cackling Goose,Branta hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canada Goose,Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canada Goose (canadensis Group),Branta canadensis [canadensis Group],Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cackling/Canada Goose,Branta hutchinsii/canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Hawaiian Goose,Branta sandvicensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Red-breasted Goose,Branta ruficollis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Branta sp.,Branta sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
goose sp.,Anser/Branta sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Freckled Duck,Stictonetta naevosa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mute Swan,Cygnus olor,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black Swan,Cygnus atratus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-necked Swan,Cygnus melancoryphus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Trumpeter Swan,Cygnus buccinator,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tundra Swan,Cygnus columbianus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tundra Swan (Whistling),Cygnus columbianus columbianus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tundra Swan (Bewick's),Cygnus columbianus bewickii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Whooper Swan,Cygnus cygnus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tundra/Whooper Swan,Cygnus columbianus/cygnus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
swan sp.,Cygnus sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Coscoroba Swan,Coscoroba coscoroba,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Comb Duck,Sarkidiornis melanotos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Comb Duck (Old World),Sarkidiornis melanotos melanotos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Comb Duck (South American),Sarkidiornis melanotos sylvicola,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Orinoco Goose,Oressochen jubatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Andean Goose,Oressochen melanopterus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Upland Goose,Chloephaga picta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Upland Goose (White-breasted),Chloephaga picta (White-breasted),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Kelp Goose,Chloephaga hybrida,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Chloephaga sp.,Chloephaga sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Egyptian Goose,Alopochen aegyptiaca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
South African Shelduck,Tadorna cana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Australian Shelduck,Tadorna tadornoides,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Paradise Shelduck,Tadorna variegata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Shelduck,Tadorna tadorna,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Radjah Shelduck,Tadorna radjah,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Crested Shelduck,Tadorna cristata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Spur-winged Goose,Plectropterus gambensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Spur-winged Goose (Northern),Plectropterus gambensis gambensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Spur-winged Goose (Southern),Plectropterus gambensis niger,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Flying Steamer-Duck,Tachyeres patachonicus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Flightless Steamer-Duck,Tachyeres pteneres,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Falkland Steamer-Duck,Tachyeres brachypterus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-headed Steamer-Duck,Tachyeres leucocephalus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
steamer-duck sp.,Tachyeres sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Crested Duck,Lophonetta specularioides,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Spectacled Duck,Speculanas specularis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Muscovy Duck,Cairina moschata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Muscovy Duck (Established Feral),Cairina moschata (Established Feral),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Muscovy Duck (Domestic type),Cairina moschata (Domestic type),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Green Pygmy-Goose,Nettapus pulchellus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cotton Pygmy-Goose,Nettapus coromandelianus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
African Pygmy-Goose,Nettapus auritus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ringed Teal,Callonetta leucophrys,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Wood Duck,Aix sponsa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mandarin Duck,Aix galericulata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Maned Duck,Chenonetta jubata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brazilian Teal,Amazonetta brasiliensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue Duck,Hymenolaimus malacorhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Torrent Duck,Merganetta armata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Salvadori's Teal,Salvadorina waigiuensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Baikal Teal,Sibirionetta formosa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Garganey,Spatula querquedula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Hottentot Teal,Spatula hottentota,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Silver Teal,Spatula versicolor,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Puna Teal,Spatula puna,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-winged Teal,Spatula discors,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cinnamon Teal,Spatula cyanoptera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Red Shoveler,Spatula platalea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cape Shoveler,Spatula smithii,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Australian Shoveler,Spatula rhynchotis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Northern Shoveler,Spatula clypeata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Garganey x Northern Shoveler (hybrid),Spatula querquedula x clypeata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall,Mareca strepera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall (Common),Mareca strepera strepera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall (Coues's),Mareca strepera couesi,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Falcated Duck,Mareca falcata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eurasian Wigeon,Mareca penelope,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Wigeon,Mareca americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Wood Duck x American Wigeon (hybrid),Aix sponsa x Mareca americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall x American Wigeon (hybrid),Mareca strepera x americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eurasian x American Wigeon (hybrid),Mareca penelope x americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eurasian/American Wigeon,Mareca penelope/americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Chiloe Wigeon,Mareca sibilatrix,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
African Black Duck,Anas sparsa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Duck,Anas undulata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Meller's Duck,Anas melleri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Pacific Black Duck,Anas superciliosa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Laysan Duck,Anas laysanensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Hawaiian Duck,Anas wyvilliana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Philippine Duck,Anas luzonica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
